qty_dot_url,directory_length,time_domain_activation,qty_slash_directory,length_url,domain_length,asn_ip,qty_slash_url,qty_dot_domain,qty_vowels_domain,file_length
4,58,-1,4,78,20,132634,4,3,5,8
3,13,-1,1,88,33,-1,1,2,6,12
4,73,-1,7,93,20,-1,7,3,7,7
1,19,-1,3,44,25,-1,3,1,9,7
1,45,7289,2,60,15,20013,2,1,5,32
2,43,6104,4,171,17,46606,4,1,5,15
2,19,219,2,37,18,-1,2,1,8,10
2,28,-1,5,83,26,-1,5,2,10,8
1,16,-1,2,24,8,46606,2,1,3,6
2,-1,-1,-1,13,13,46606,0,2,2,-1
1,8,5095,1,14,6,395224,1,1,1,7
1,-1,-1,-1,12,12,-1,0,1,3,-1
3,27,-1,2,49,16,201706,2,2,2,11
2,13,9202,2,25,12,22653,2,2,4,6
2,11,-1,1,30,19,-1,1,2,8,10
3,59,184,4,74,15,16347,4,1,4,9
2,11,-1,2,30,19,-1,2,2,2,1
3,65,-1,6,85,20,-1,6,3,7,9
2,-1,-1,-1,27,27,53665,0,2,11,-1
5,117,-1,1,139,22,11022,1,3,5,116
1,17,74,3,28,11,-1,3,1,1,4
2,14,-1,3,39,25,15169,3,2,10,3
1,-1,287,-1,20,20,13335,0,1,6,-1
5,141,-1,1,169,28,-1,1,3,5,140
1,33,1506,4,44,11,-1,4,1,4,4
1,5,-1,1,11,6,-1,1,1,1,4
1,64,-1,5,81,17,-1,5,1,5,32
3,10,-1,2,23,13,8075,2,3,0,5
2,23,-1,3,60,37,47583,3,2,12,2
1,67,-1,3,77,10,49699,3,1,3,29
2,21,-1,3,33,12,-1,3,1,3,10
2,73,3759,7,86,13,-1,7,1,2,16
3,33,-1,4,70,37,47583,4,2,12,9
3,20,-1,1,44,24,47583,1,2,4,19
2,18,3865,2,34,16,55933,2,1,5,12
1,-1,144,-1,15,15,-1,0,1,5,-1
2,-1,-1,-1,30,30,-1,0,2,6,-1
2,7,-1,2,34,23,-1,2,2,7,0
2,-1,-1,-1,32,32,-1,0,2,11,-1
2,-1,-1,-1,28,28,23033,0,2,7,-1
3,106,-1,9,493,33,47583,9,2,9,13
3,-1,597,-1,35,35,-1,0,3,9,-1
2,-1,-1,-1,33,33,-1,0,2,11,-1
2,99,4054,8,109,10,5503,8,1,3,8
1,-1,331,-1,15,15,-1,0,1,4,-1
1,21,-1,3,45,24,-1,3,1,7,8
2,-1,-1,-1,22,22,14618,0,2,5,-1
2,53,-1,5,72,19,-1,5,1,7,9
2,49,2732,6,82,18,3257,6,1,7,13
1,-1,394,-1,11,11,40034,0,1,3,-1
1,17,1593,2,41,24,-1,2,1,11,7
2,59,908,5,83,24,26496,5,1,8,9
2,27,-1,3,38,11,-1,3,1,3,11
1,21,-1,2,39,18,-1,2,1,5,3
1,10,165,2,36,17,32244,2,1,6,4
1,8,-1,1,32,24,-1,1,1,7,7
2,29,4466,4,87,12,58940,4,1,4,8
3,12,-1,1,165,42,47583,1,2,12,11
3,10,-1,1,43,33,-1,1,2,11,9
4,41,-1,2,172,20,41847,2,3,7,7
1,-1,432,-1,33,33,-1,0,1,11,-1
11,44,-1,2,347,18,-1,4,3,6,10
6,22,-1,3,43,21,16276,3,2,3,13
1,16,2288,2,35,19,-1,2,1,7,3
2,22,-1,2,35,13,8560,2,1,2,15
2,22,-1,2,41,19,-1,2,2,7,17
3,23,739,3,137,15,-1,3,2,5,10
2,-1,-1,-1,23,23,-1,0,2,7,-1
2,-1,-1,-1,34,34,47583,0,2,10,-1
2,-1,-1,-1,28,28,23033,0,2,6,-1
3,10,-1,1,82,31,-1,1,2,9,9
1,6,-1,1,17,11,13335,1,1,3,5
1,1,-1,1,70,30,-1,1,1,10,0
1,21,2786,1,31,10,-1,1,1,2,20
1,16,-1,2,48,32,31624,2,1,10,3
1,1,307,1,20,16,-1,1,1,6,0
3,26,-1,3,39,13,14061,3,3,0,10
1,-1,322,-1,16,16,-1,0,1,6,-1
1,15,-1,3,31,16,-1,3,1,7,6
14,18,-1,3,218,30,46606,3,2,9,7
2,43,3535,4,59,16,394695,4,1,5,17
2,-1,-1,-1,21,21,-1,0,2,6,-1
1,38,-1,5,59,21,-1,5,1,9,1
1,51,-1,3,67,16,-1,3,1,5,32
2,10,-1,2,35,25,47583,2,2,6,4
4,13,-1,1,83,29,-1,1,3,6,12
3,13,-1,1,98,43,21414,1,2,15,12
4,21,-1,3,77,29,-1,3,2,7,6
1,13,264,1,32,19,-1,1,1,7,12
2,-1,401,-1,26,26,-1,0,2,10,-1
5,20,-1,2,69,16,201706,2,2,2,11
3,8,317,1,34,26,46050,1,3,8,7
3,13,-1,1,87,33,-1,1,2,8,12
2,3,-1,1,26,23,-1,1,2,7,2
1,40,1615,5,59,19,63949,5,1,7,4
3,16,-1,1,68,13,-1,4,1,2,15
1,-1,400,-1,23,23,-1,0,1,9,-1
1,7,-1,1,30,23,-1,1,1,8,6
1,142,792,9,152,10,-1,9,1,3,32
5,17,-1,2,46,29,-1,2,4,8,9
2,-1,-1,-1,17,17,45102,0,2,4,-1
5,20,-1,2,67,47,-1,2,4,15,10
1,17,-1,4,38,21,-1,4,1,10,5
2,-1,-1,-1,33,33,47583,0,2,10,-1
3,50,-1,4,71,21,-1,4,3,7,5
8,11,-1,1,157,107,36351,1,5,38,10
1,57,407,4,68,11,-1,4,1,3,10
3,12,-1,1,37,25,47583,1,2,7,11
2,-1,-1,-1,24,24,-1,0,2,7,-1
5,22,-1,2,49,27,-1,2,4,7,14
2,18,-1,2,31,13,-1,2,2,4,10
1,-1,87,-1,22,22,-1,0,1,9,-1
3,25,-1,3,52,27,-1,3,2,8,11
4,102,-1,3,149,47,-1,3,3,15,32
2,33,-1,1,73,40,40034,1,2,16,32
2,-1,-1,-1,13,13,-1,0,2,0,-1
16,50,-1,5,202,152,-1,5,14,33,32
2,29,1277,3,42,13,-1,3,1,3,11
2,26,1663,3,45,19,32244,3,1,8,11
3,18,-1,1,44,26,47583,1,2,7,17
4,21,-1,2,38,17,-1,2,2,5,10
5,40,-1,4,79,39,-1,4,4,13,6
3,23,-1,4,39,16,-1,4,2,2,10
2,11,-1,1,195,27,-1,1,1,6,10
1,-1,444,-1,22,22,-1,0,1,5,-1
1,-1,311,-1,21,21,-1,0,1,7,-1
13,528,-1,40,637,19,-1,40,2,4,15
2,3,-1,1,14,11,-1,1,1,3,2
2,63,131,4,77,14,40034,4,1,3,9
1,-1,317,-1,13,13,-1,0,1,3,-1
3,21,-1,2,68,47,36352,2,3,9,5
2,29,-1,4,65,36,-1,4,1,7,10
1,25,-1,3,51,26,-1,3,1,8,8
2,47,446,7,62,15,-1,7,1,5,13
2,17,638,3,34,17,16276,3,2,3,4
3,22,-1,4,191,12,-1,4,2,2,9
2,36,3043,5,56,20,16276,5,1,7,8
2,23,-1,1,62,39,-1,1,1,5,22
3,31,-1,4,59,28,-1,4,2,12,11
3,13,-1,1,52,21,40395,1,2,6,12
1,61,3076,6,70,9,55293,6,1,3,32
2,-1,277,-1,15,15,-1,0,2,6,-1
7,13,-1,2,81,68,-1,2,6,13,9
3,16,-1,2,46,30,47583,2,2,7,10
1,7,-1,1,17,10,-1,1,1,2,6
1,-1,830,-1,16,16,22612,0,1,5,-1
3,11,-1,1,72,30,-1,1,2,11,10
4,-1,-1,-1,47,47,15169,0,4,11,-1
1,-1,78,-1,17,17,-1,0,1,5,-1
3,50,-1,2,82,32,-1,2,2,9,44
2,70,196,5,90,20,-1,5,2,7,36
2,-1,-1,-1,53,53,-1,0,2,17,-1
4,36,-1,2,92,56,46606,2,4,19,32
1,4,3882,1,12,8,13335,1,1,2,3
4,22,8135,4,256,16,20940,11,2,5,3
2,6,409,1,20,14,-1,1,1,5,5
4,-1,-1,-1,47,47,15169,0,4,12,-1
3,30,-1,2,52,16,201706,2,2,2,11
3,16,-1,1,84,28,-1,4,2,8,15
6,1,-1,1,56,24,-1,1,3,6,0
2,80,-1,7,92,12,-1,7,1,3,16
2,-1,-1,-1,28,28,13335,0,2,10,-1
2,16,386,1,68,21,-1,1,1,6,15
3,19,-1,1,64,45,-1,1,2,16,18
6,29,3458,2,39,10,50438,2,1,2,11
4,64,834,8,102,16,22612,8,1,6,0
3,13,-1,1,80,25,46606,1,2,6,12
2,32,838,3,53,15,6659,3,1,5,9
1,5,-1,1,32,27,-1,1,1,10,4
1,-1,124,-1,38,38,-1,0,1,11,-1
1,-1,-1,-1,26,26,-1,0,1,11,-1
4,1,-1,1,73,50,15169,1,4,12,0
2,86,-1,5,115,29,16509,5,2,14,73
1,14,251,2,26,12,35916,2,1,4,3
3,57,-1,7,81,24,46606,7,2,6,9
3,6,-1,1,31,25,-1,1,3,4,5
3,-1,-1,-1,13,13,58879,0,3,0,-1
4,25,-1,4,55,10,-1,4,1,2,6
2,-1,-1,-1,19,19,-1,0,2,7,-1
3,6,-1,1,31,25,-1,1,3,3,5
2,26,-1,3,55,29,-1,3,2,8,7
1,-1,4862,-1,29,29,20013,0,1,11,-1
1,-1,-1,-1,41,41,-1,0,1,13,-1
5,10,-1,1,92,41,-1,1,4,11,9
2,-1,-1,-1,24,24,6428,0,2,7,-1
3,25,3014,1,151,17,52368,1,1,5,24
2,-1,-1,-1,31,31,14061,0,2,8,-1
1,-1,820,-1,16,16,46606,0,1,8,-1
2,-1,-1,-1,18,18,32244,0,2,6,-1
2,10,-1,2,27,17,-1,2,2,3,5
2,4,-1,1,34,30,-1,1,2,11,3
2,12,5135,2,25,13,32748,2,2,4,8
4,26,401,3,48,22,-1,3,2,5,9
4,58,-1,5,97,28,-1,5,3,9,10
3,-1,-1,-1,15,15,36352,0,3,0,-1
1,3,261,1,16,13,-1,1,1,2,2
5,18,-1,2,328,22,14618,3,3,5,12
3,32,-1,4,54,22,-1,4,1,7,9
2,21,-1,5,203,28,-1,5,2,12,0
1,-1,-1,-1,14,14,-1,0,1,5,-1
2,13,-1,1,31,18,-1,1,2,2,12
2,45,3875,3,60,15,-1,3,1,6,22
2,-1,-1,-1,32,32,23033,0,2,8,-1
6,15,-1,1,48,33,-1,1,5,9,14
2,-1,-1,-1,24,24,23033,0,2,7,-1
4,13,-1,1,85,30,-1,1,3,4,12
4,60,-1,2,82,22,-1,2,3,8,55
3,45,-1,2,212,33,-1,2,2,11,11
3,-1,-1,-1,36,36,23033,0,3,7,-1
2,13,270,1,65,10,-1,1,1,3,12
1,27,1792,2,41,14,32392,2,1,4,23
2,32,-1,2,57,25,-1,2,1,8,29
2,24,-1,3,45,21,8075,3,2,6,9
2,29,-1,3,67,18,-1,3,1,7,10
2,6,-1,1,33,27,-1,1,2,8,5
1,35,2282,5,48,13,60494,5,1,5,6
3,-1,-1,-1,24,24,-1,0,3,7,-1
7,302,-1,45,315,13,8100,45,3,0,14
2,17,-1,2,59,42,-1,2,2,17,9
2,-1,-1,-1,59,59,47583,0,2,19,-1
5,92,-1,8,112,20,-1,8,1,8,7
2,31,354,4,85,16,262254,4,2,5,0
2,30,-1,4,419,35,-1,4,1,12,10
4,73,-1,4,109,25,-1,4,3,7,10
1,16,835,2,35,19,394695,2,1,8,9
3,13,-1,1,85,30,-1,1,2,7,12
1,67,-1,3,77,10,49699,3,1,3,29
3,8,-1,1,33,25,-1,1,3,9,7
2,-1,-1,-1,27,27,23033,0,2,5,-1
2,10,3229,1,73,19,16347,1,1,7,9
3,53,-1,4,81,28,-1,4,2,9,10
2,16,-1,2,35,19,-1,2,2,7,7
2,-1,-1,-1,35,35,-1,0,2,12,-1
2,-1,-1,-1,29,29,-1,0,2,9,-1
3,13,-1,1,89,34,13768,1,2,6,12
3,21,-1,2,44,23,-1,2,2,8,15
1,-1,-1,-1,19,19,-1,0,1,7,-1
3,12,-1,1,28,16,-1,1,1,1,11
2,23,-1,1,61,38,-1,1,1,7,22
1,45,284,1,53,8,-1,1,1,2,44
2,6,-1,1,26,20,-1,1,2,2,5
3,-1,-1,-1,31,31,-1,0,3,12,-1
3,7,-1,2,27,20,9512,2,3,6,3
2,-1,-1,-1,26,26,39104,0,2,9,-1
3,170,-1,2,206,22,45146,2,3,8,165
2,25,-1,1,53,28,-1,1,1,6,24
9,79,1310,7,261,24,-1,10,1,7,9
3,18,-1,3,251,21,-1,3,2,5,0
2,-1,-1,-1,39,39,23033,0,2,8,-1
2,-1,-1,-1,29,29,15169,0,2,8,-1
2,-1,-1,-1,34,34,-1,0,2,7,-1
2,-1,-1,-1,25,25,23033,0,2,6,-1
1,-1,-1,-1,24,24,-1,0,1,1,-1
3,18,-1,3,186,22,-1,3,2,6,7
1,22,127,1,44,22,-1,1,1,6,21
3,24,-1,1,50,26,-1,1,2,8,23
2,-1,-1,-1,26,26,27647,0,2,8,-1
2,-1,-1,-1,26,26,23033,0,2,6,-1
1,94,4087,8,106,12,12876,8,1,5,6
3,18,-1,2,47,29,-1,2,2,7,11
3,54,3284,7,97,31,394695,7,2,8,7
1,15,1486,2,27,12,6718,2,1,3,10
4,13,-1,1,82,27,37061,1,3,11,12
1,16,87,2,47,31,46606,2,1,12,8
